file,label,entropy,laplacian_variance,hf_energy_ratio,spectral_slope,noise_entropy,gradient_variance,edge_density,color_uniformity,saturation_mean,dct_energy_ratio
000000002685.png,0,7.759214,1953.901372,0.016872,2.868731,4.726564,12066.355393,0.104092,52.939288,0.413761,0.00054
000000002923.png,0,6.749334,953.793229,0.008652,3.293679,4.281969,6387.045316,0.047203,32.181644,0.383779,0.000547
000000003156.png,0,7.414429,1247.2404,0.015386,3.455595,4.634378,16218.523962,0.065739,72.940904,0.0,0.000358
000000003255.png,0,7.520222,2223.483093,0.019083,3.888385,5.25082,20482.549614,0.161434,43.035988,0.177756,0.000386
000000003501.png,0,7.372348,726.617401,0.005295,3.152841,4.318231,7644.835165,0.068535,73.775968,0.376829,0.000373
000000003553.png,0,7.54215,322.757456,0.006832,4.239038,4.586853,8026.900893,0.062157,78.406942,0.192347,0.000187
000000003661.png,0,7.056499,32.416526,0.000964,4.049539,3.476394,850.497786,0.01152,36.320335,0.709518,3e-06
000000003845.png,0,7.759549,348.834529,0.006178,4.197614,4.913668,4705.796206,0.101143,52.704358,0.647228,0.000189
000000003934.png,0,7.563533,574.865999,0.012924,4.047064,4.843941,7457.512508,0.093803,48.232871,0.345296,4.3e-05
000000004134.png,0,7.537017,684.319066,0.013486,3.640154,4.840904,8133.707694,0.078064,67.051566,0.375758,0.001318
000000004395.png,0,6.627636,391.47327,0.004176,3.820315,3.774298,7058.963932,0.030762,100.486031,0.28134,0.000279
000000004495.png,0,7.257568,160.903109,0.004319,4.106334,5.007996,3155.201989,0.035538,47.674714,0.320197,3e-05
000000004765.png,0,7.391376,486.113434,0.005315,3.644924,5.302585,5410.877722,0.087845,43.599908,0.099554,8.5e-05
000000004795.png,0,7.706039,1033.870444,0.00586,2.892651,5.232091,5715.305939,0.096878,55.108278,0.160171,0.001946
000000005001.png,0,6.550263,3392.622136,0.052162,3.064354,4.999271,26719.626938,0.131081,65.30971,0.351983,0.001931
000000005037.png,0,7.774255,2005.989036,0.027276,3.606288,5.076927,23646.736161,0.120358,63.104873,0.198391,0.000419
000000005060.png,0,7.719579,1794.689969,0.017838,2.887022,5.165614,12239.674603,0.089649,54.92364,0.413504,0.000404
000000005193.png,0,7.392524,1352.725971,0.024829,3.241209,4.625498,10628.288473,0.089661,41.665849,0.28822,0.002156
000000005477.png,0,6.953113,382.89239,0.004377,4.173357,4.160524,6290.876079,0.038715,35.205589,0.248042,2.5e-05
000000005503.png,0,6.897049,64.017879,0.003313,4.029755,4.643549,1476.912317,0.019917,41.00676,0.0,2.3e-05
000000005529.png,0,7.164904,3958.617061,0.017887,2.89136,5.354809,21366.25239,0.134453,49.56488,0.076388,0.000641
000000005586.png,0,7.433693,81.240811,0.004222,4.52532,4.888345,4077.56409,0.056595,56.34277,0.324074,0.0
000000005600.png,0,7.363342,260.254634,0.009592,4.087006,4.469421,4042.089216,0.04987,43.990583,0.733748,7.3e-05
000000005992.png,0,7.482855,539.036692,0.011923,3.613706,5.148958,4646.319542,0.084072,62.605039,0.261911,0.001445
000000006012.png,0,7.764573,1412.219044,0.009716,2.986545,5.041809,10025.472247,0.129089,48.407852,0.591479,0.000181
000000006040.png,0,7.504145,1076.040459,0.024051,4.392837,5.040359,20903.052214,0.112682,55.088685,0.30631,5.1e-05
000000006213.png,0,7.202837,277.508012,0.003817,3.916699,3.931816,4453.472583,0.036724,53.28428,0.41184,0.000136
000000006460.png,0,7.379966,2282.399419,0.013158,2.857001,5.748133,7646.056028,0.194237,53.339694,0.0,0.001824
000000006471.png,0,7.501458,742.81839,0.016552,4.182711,4.754897,11528.12443,0.072636,59.62451,0.282097,1.7e-05
000000006614.png,0,5.291105,827.376088,0.003672,3.687067,4.619029,9707.661236,0.107315,45.10743,0.0,1.8e-05
000000006723.png,0,7.488475,946.904355,0.011463,4.343798,5.027723,15555.235696,0.10408,55.256128,0.162845,0.000105
000000006763.png,0,7.10477,402.628465,0.018413,4.129835,4.550746,6565.753565,0.060158,45.687149,0.461513,0.000155
000000006771.png,0,7.535919,573.033254,0.007342,3.758844,3.426959,7835.825844,0.047806,53.947149,0.197697,0.000219
000000006818.png,0,7.492709,378.507566,0.003781,3.530774,4.619697,3835.178105,0.041538,49.955493,0.285736,2.1e-05
000000006894.png,0,7.589903,2259.413803,0.013007,2.626634,5.030836,8015.934334,0.104118,53.997271,0.152258,0.00103
000000006954.png,0,7.483016,3324.012368,0.018981,2.876393,5.699969,14810.014727,0.215313,59.838169,0.262397,0.000813
000000007088.png,0,7.938298,2438.604089,0.016936,2.814935,5.862956,9571.182336,0.228096,67.25257,0.205764,0.001546
000000007108.png,0,7.597494,739.503832,0.009467,3.176974,5.127876,3648.010695,0.077068,55.780252,0.450556,0.001565
000000007278.png,0,7.227898,3939.927236,0.018352,2.191204,5.807109,8740.966195,0.154995,33.734152,0.142288,0.004159
000000007281.png,0,7.038953,465.792307,0.004792,4.035564,4.821727,5212.647479,0.101536,37.636679,0.210032,1.5e-05
000000007386.png,0,7.675536,1283.337177,0.029382,3.948539,5.399742,15890.88806,0.153324,51.673844,0.342223,5.3e-05
000000007511.png,0,7.245616,2768.831508,0.010347,2.482427,4.691488,9403.615589,0.100594,51.413978,0.273229,0.002465
000000007574.png,0,7.798333,1184.659946,0.018271,3.430075,4.685649,13613.084198,0.088394,53.288311,0.339512,0.000552
000000007784.png,0,5.465432,432.136776,0.006534,3.66043,2.563638,6651.151958,0.024689,19.392823,0.519241,0.000195
000000007795.png,0,7.82866,1088.282837,0.010813,3.539226,5.062997,10894.529134,0.099411,56.857323,0.207823,0.000132
000000007816.png,0,7.413048,782.840513,0.011643,3.806973,4.681596,11396.414797,0.075882,40.081245,0.310731,0.000222
000000007818.png,0,7.004521,319.536337,0.008337,3.860539,3.100305,5539.128003,0.031315,67.081955,0.394516,0.000467
000000007888.png,0,6.409546,410.041334,0.001593,2.940379,4.021067,3314.696899,0.019371,50.620555,0.0,0.000582
000000007977.png,0,7.3788,1442.497791,0.007955,3.049774,5.066188,8459.085093,0.096649,61.799263,0.131715,0.00018
000000007991.png,0,7.778327,329.059354,0.006744,4.366852,5.027712,6122.388149,0.076057,53.997196,0.457243,5.9e-05
000000008021.png,0,7.12164,398.904103,0.008824,3.237196,4.283381,5100.449318,0.029148,52.155149,0.562836,0.000162
000000008211.png,0,7.850537,3195.953371,0.030618,3.03149,5.496737,21857.705456,0.150295,50.775554,0.274228,0.001694
000000008277.png,0,7.537236,1063.888177,0.009387,2.857628,5.003076,6099.310141,0.104733,53.067051,0.473171,0.00086
000000008532.png,0,7.681891,334.43313,0.003379,3.550556,3.631171,3475.431175,0.041088,67.278695,0.268963,5.7e-05
000000008629.png,0,7.479388,726.011524,0.005002,3.518716,4.790354,10160.956077,0.101284,55.034863,0.562118,3.1e-05
000000008690.png,0,7.504622,1061.931151,0.006465,3.224219,5.174502,7262.354574,0.119366,73.53236,0.209008,0.000484
000000008762.png,0,6.433815,196.076197,0.013964,3.609337,2.675485,3030.129783,0.017838,34.091561,0.458949,2.3e-05
000000008844.png,0,7.785301,566.820915,0.005414,3.415836,3.247839,4623.24095,0.03685,55.679571,0.460535,0.000159
000000008899.png,0,7.727899,3173.728773,0.046607,2.67349,5.88024,17516.864412,0.195,47.285797,0.265589,0.003091
000000009378.png,0,7.228278,438.85109,0.014495,4.324709,4.954725,10386.909894,0.050587,60.116905,0.499595,2.2e-05
000000009400.png,0,6.487426,456.731168,0.01208,3.508203,3.898131,6125.083893,0.04895,67.553391,0.439034,0.000894
000000009448.png,0,7.47827,6209.603897,0.041625,2.330523,5.33034,17970.806326,0.168652,53.919394,0.663737,0.006607
000000009483.png,0,7.433033,341.416093,0.006679,3.294729,4.289275,3288.97636,0.047077,53.500132,0.264709,0.000214
000000009590.png,0,7.348423,782.62646,0.019906,3.991047,4.475628,12525.943218,0.086296,68.853557,0.335008,0.000112
000000009769.png,0,7.896359,2514.962564,0.029136,3.220365,5.857706,18642.4648,0.179184,54.530682,0.215778,0.000584
000000009772.png,0,7.717538,1379.800167,0.015994,3.056213,4.576853,10945.265835,0.093513,50.964352,0.742524,0.002071
000000009891.png,0,7.68204,1271.938933,0.016198,3.218459,4.987561,11248.030088,0.100788,57.762905,0.194166,0.000238
000000009914.png,0,7.663603,1255.912814,0.01453,2.938637,5.09881,6706.627927,0.11359,48.197391,0.570868,0.00052
000000010092.png,0,7.726259,304.511423,0.007979,4.113331,4.981686,5286.209579,0.081425,55.065042,0.369913,1.6e-05
000000010363.png,0,6.971597,746.821914,0.029817,3.858442,4.940691,6738.546431,0.106361,31.235751,0.269709,0.000812
000000010583.png,0,7.846345,2778.993789,0.028152,2.985841,5.569234,26926.598366,0.162182,61.684382,0.30681,0.001239
000000010707.png,0,7.739182,927.500278,0.012132,3.398509,4.372879,10776.890108,0.077415,74.785462,0.649225,0.000303
000000010764.png,0,6.99509,1377.733972,0.028445,3.208016,4.632625,11810.421817,0.078331,33.07628,0.484553,0.001943
000000010977.png,0,6.900642,136.027854,0.001476,4.495743,3.976821,3895.961322,0.034756,54.907243,0.278443,3e-06
000000010995.png,0,6.748599,746.620267,0.010865,3.291341,3.951945,7875.221002,0.039089,79.886618,0.389387,0.000429
000000011051.png,0,7.06405,344.119403,0.007744,3.451382,3.529626,5112.011156,0.041538,64.469505,0.48284,0.000123
000000011122.png,0,7.607845,11873.274628,0.06093,2.061951,6.437727,19866.310369,0.285439,53.24614,0.282268,0.022667
000000011149.png,0,7.676048,2005.319831,0.025428,3.75556,5.937072,13897.852559,0.223499,40.821633,0.247043,0.001285
000000011197.png,0,7.410577,1017.060173,0.019592,3.535686,4.836691,11050.026506,0.086945,51.801259,0.203581,0.00067
000000011511.png,0,7.371372,2293.110075,0.024082,2.939904,5.258269,12237.073879,0.156754,73.91163,0.145593,0.00192
000000011615.png,0,7.463008,2797.826818,0.022901,3.047917,4.74977,24939.21398,0.106926,52.670397,0.222085,0.0002
000000011699.png,0,7.677232,1702.737436,0.024219,3.149466,4.424648,14387.245513,0.097424,57.780027,0.418906,0.000352
000000011760.png,0,7.574469,5801.7884,0.085218,2.797482,6.425519,19115.629037,0.307411,33.155317,0.265619,0.0017
000000011813.png,0,7.770792,259.177969,0.006427,4.385352,3.487514,8659.250577,0.040844,71.284893,0.171348,1.1e-05
000000012062.png,0,7.697216,1626.118346,0.013211,3.206103,6.053631,7791.692208,0.229599,46.916263,0.083349,0.001016
000000012120.png,0,6.715133,2453.421809,0.045628,3.165098,4.748626,22035.539905,0.10767,25.237138,0.61982,0.000138
000000012280.png,0,7.764056,1426.513614,0.017079,3.372516,5.039125,18457.489688,0.091877,48.521243,0.095591,0.000109
000000012576.png,0,7.836978,926.966369,0.009861,3.255404,5.327285,8216.97305,0.142532,55.323728,0.319972,0.000109
000000012639.png,0,7.485485,2532.758644,0.01669,2.672217,5.685753,8843.614585,0.194054,44.306393,0.243994,0.00024
000000012667.png,0,7.572522,609.879649,0.005606,3.22871,3.79052,6118.533051,0.041252,60.825935,0.136878,0.000213
000000012670.png,0,7.518511,237.808136,0.006913,3.972789,4.423002,4272.978423,0.073074,43.739645,0.377948,0.000113
000000012748.png,0,7.606367,839.545499,0.009805,3.049049,4.810468,6004.0335,0.080143,61.39714,0.276153,0.000681
000000013004.png,0,7.181169,71.190843,0.001,3.97917,4.856803,826.753545,0.012341,39.429475,0.374616,1.3e-05
000000013177.png,0,7.801113,783.478926,0.015075,3.737319,4.944649,9832.642134,0.112507,50.766533,0.291564,8e-06
000000013201.png,0,7.627095,390.570287,0.005582,3.637996,4.403989,4121.360116,0.053917,47.707196,0.302388,0.00085
000000013291.png,0,7.670411,1032.194661,0.019792,4.24878,4.705866,14603.225291,0.146538,41.271538,0.420264,7.1e-05
000000013348.png,0,7.697925,1028.141716,0.012485,3.587752,4.213413,13525.66052,0.064831,48.789812,0.25283,0.000159
000000013546.png,0,7.349645,1807.432075,0.025356,3.110094,5.354796,10881.709836,0.138584,46.22524,0.297377,0.001717
000000013597.png,0,7.622745,231.909737,0.003374,3.924651,3.79582,4300.156037,0.060444,61.046225,0.497633,0.000211
000000013659.png,0,7.703664,1447.668599,0.025696,3.313277,4.944259,14134.231022,0.10368,52.751831,0.267352,0.000451
000000013729.png,0,7.685506,2138.257769,0.016249,3.108281,5.026031,13912.415197,0.087181,47.800191,0.205961,0.000298
000000013774.png,0,7.70784,591.916115,0.003595,2.806127,4.010742,3905.175515,0.054855,56.559962,0.31058,1e-06
000000013923.png,0,7.495927,2129.165802,0.015371,3.749944,4.677062,28223.82242,0.112213,67.81228,0.267675,0.000322
000000014007.png,0,7.742144,316.704259,0.004321,3.513305,3.501891,3485.318783,0.024673,76.108335,0.253402,0.000167
000000014038.png,0,7.760164,1083.509416,0.014362,3.424681,4.889572,10852.508036,0.08168,50.99345,0.398882,0.000437
000000014226.png,0,7.691322,856.426333,0.011103,3.405215,4.656885,9421.794845,0.087044,78.853578,0.272418,0.000659
000000014380.png,0,7.833088,2375.407558,0.021523,3.21421,5.481497,18477.862196,0.14447,55.798079,0.130552,0.001146
000000014439.png,0,7.291091,2995.497704,0.032118,3.065859,5.937598,12687.837944,0.229546,27.881046,0.758894,0.000604
000000014473.png,0,7.399196,639.031625,0.017406,3.773954,4.686096,8610.914204,0.083729,39.614782,0.294156,4.2e-05
000000014831.png,0,7.216005,805.802804,0.00749,2.649829,5.916298,1846.30144,0.096699,34.577096,0.268994,0.00035
000000014888.png,0,7.241552,810.679387,0.018089,3.034425,4.716823,5204.601489,0.073074,47.285741,0.342676,0.000242
000000015079.png,0,6.236323,144.716428,0.00476,3.956578,3.799308,2431.133425,0.041828,56.469954,0.416079,7.5e-05
000000015254.png,0,7.720178,677.646432,0.013372,3.749659,4.987914,8781.064148,0.119579,49.680282,0.691032,0.000457
000000015272.png,0,7.786123,9066.142522,0.058229,2.900604,6.670098,31225.119112,0.336788,40.849373,0.266401,0.001895
000000015278.png,0,7.802248,1406.198028,0.015415,3.036278,4.918601,8113.048927,0.144127,57.086999,0.507561,0.000921
000000015335.png,0,6.401637,756.188412,0.039514,3.168773,4.84086,7867.81315,0.049728,41.446116,0.729755,0.001865
000000015338.png,0,7.736328,1915.662205,0.017547,3.225832,5.553674,10563.407034,0.155193,55.242486,0.153702,0.000854
000000015440.png,0,7.59768,2580.591113,0.013384,3.061626,5.107111,12671.010648,0.120953,53.2837,0.387043,4.5e-05
000000015497.png,0,6.622744,150.315616,0.004938,3.570689,4.192897,1959.712092,0.025234,55.474493,0.265679,2.3e-05
000000015517.png,0,7.826737,1883.191152,0.013905,3.145041,5.083904,14715.699142,0.138542,64.921062,0.168511,0.000718
000000015597.png,0,7.19839,217.312824,0.003911,4.017181,4.823167,4251.124107,0.049728,61.647571,0.312018,0.000193
000000015660.png,0,7.697422,4530.4078,0.052274,3.694526,5.48949,44121.21435,0.183865,41.863045,0.352785,0.000657
000000015746.png,0,7.750065,2260.132811,0.025504,3.262175,5.77504,12983.700287,0.214291,48.449832,0.403727,0.000384
000000015751.png,0,7.056027,64.353149,0.00154,3.986659,3.706533,1351.070462,0.016891,38.765172,0.320113,3.5e-05
000000015956.png,0,7.05291,580.603504,0.007356,3.127181,5.615764,3744.742318,0.086864,30.205292,0.133187,0.000106
000000016010.png,0,7.751826,4624.354572,0.020335,2.263294,5.465383,11943.86842,0.187309,61.093486,0.259034,0.003522
000000016228.png,0,7.547651,1502.805386,0.01535,3.59585,5.264214,15122.069274,0.157272,46.633739,0.155786,0.000605
000000016249.png,0,7.518264,555.750992,0.020342,4.304675,4.394241,11721.51985,0.08157,52.290463,0.318902,7.1e-05
000000016439.png,0,7.600086,1951.679246,0.021762,2.877696,4.411074,13682.914409,0.083462,60.330374,0.345452,0.000741
000000016451.png,0,7.351034,2492.527301,0.011342,2.400681,5.19096,10921.926103,0.101387,39.636654,0.226841,0.000734
000000016502.png,0,7.175227,237.639434,0.002974,3.994951,3.979989,3169.304558,0.040611,68.97088,0.283244,8e-06
000000016598.png,0,7.785176,632.915078,0.004242,2.963097,5.190469,4134.739795,0.05312,55.643146,0.44794,0.000796
000000016958.png,0,7.142348,510.910745,0.020906,3.612769,5.048376,5835.473955,0.076328,40.1484,0.317411,0.000114
000000017029.png,0,7.824638,3216.269882,0.021198,2.692916,5.772605,10912.021869,0.228603,63.162059,0.454602,0.001918
000000017031.png,0,7.787475,236.199282,0.005341,4.475109,4.570596,5400.45754,0.05143,53.460136,0.529915,3.9e-05
000000017115.png,0,7.855368,4584.039372,0.06266,3.035571,6.319826,25672.592689,0.273258,45.672726,0.402349,0.001323
000000017178.png,0,7.585025,4628.226605,0.038619,2.762106,5.910507,17462.35741,0.179813,52.356197,0.296602,0.000514
000000017182.png,0,7.014536,506.008918,0.013802,3.611409,5.039046,6407.265893,0.048988,37.180876,0.472598,0.00057
000000017207.png,0,7.353723,282.883986,0.007873,3.948499,4.687566,6227.960849,0.052036,46.45745,0.25091,2.8e-05
000000017379.png,0,7.683193,390.410271,0.006175,3.229881,4.569193,3906.111951,0.038879,57.508928,0.490393,0.000302
000000017436.png,0,7.282778,5737.202265,0.038805,2.543055,5.202137,24152.790615,0.159565,71.037287,0.344104,0.00869
000000017627.png,0,7.63438,1626.073046,0.021631,3.000251,4.734348,13244.922478,0.089046,50.642496,0.308188,0.000982
000000017714.png,0,7.448452,964.32222,0.009704,3.162226,4.240153,7760.682892,0.056911,75.920124,0.303468,0.000697
000000017899.png,0,7.944194,3103.941566,0.029385,3.053632,5.506373,25249.727039,0.155396,56.104762,0.339682,0.000639
000000017905.png,0,7.450378,3540.195456,0.037059,2.606116,5.588222,13889.080836,0.199661,52.269591,0.285207,0.001738
000000017959.png,0,6.969164,1982.103888,0.013567,3.301081,4.491445,16726.063814,0.090099,63.989223,0.303301,0.000673
000000018150.png,0,7.238018,622.35884,0.015014,3.021473,5.072889,4193.657331,0.071224,36.99908,0.456396,0.000649
000000018193.png,0,7.247818,4258.492629,0.032415,2.512954,4.781656,10509.188068,0.067329,64.036675,0.182174,0.027425
000000018380.png,0,7.810789,2040.522011,0.025057,3.496675,5.442143,18379.150708,0.170181,53.522881,0.542555,0.001376
000000018491.png,0,7.230438,325.57313,0.011855,4.08388,5.043286,5418.951189,0.090271,29.970108,0.34687,5.8e-05
000000018519.png,0,7.517275,713.642753,0.007246,3.094928,4.549205,7483.023874,0.071865,54.112356,0.144531,0.001586
000000018575.png,0,7.568149,990.646059,0.008248,2.901056,5.620863,4845.934745,0.109196,43.021901,0.311403,0.000791
000000018737.png,0,7.338115,2287.586079,0.012949,3.161657,4.993934,15907.946359,0.129833,55.938511,0.240645,0.000922
000000018770.png,0,5.934835,192.427855,0.012624,3.546051,3.427491,2523.2283,0.012909,40.387466,0.297735,0.000362
000000018833.png,0,7.672335,459.193924,0.005391,3.591276,4.679301,3857.569812,0.080956,71.065159,0.149553,0.000216
000000018837.png,0,7.634097,2180.071782,0.021862,2.952252,5.520456,14050.825679,0.160019,44.407257,0.193761,0.000626
000000019042.png,0,7.379598,2069.044772,0.021443,3.987193,5.629372,21963.422065,0.162216,54.298493,0.13925,0.000109
000000019109.png,0,7.829253,2706.474568,0.034553,3.367352,5.897068,21117.303131,0.185928,49.069925,0.24238,0.000787
000000019221.png,0,7.63501,234.953236,0.006184,4.121623,3.989991,6781.861844,0.051109,65.108406,0.413996,5.9e-05
000000019402.png,0,7.591041,196.961349,0.001933,3.500581,4.618436,2475.022762,0.037971,75.339436,0.496372,0.000285
000000019432.png,0,6.994975,2894.543287,0.049185,3.218899,5.131579,39699.640076,0.095207,55.000596,0.499515,0.00019
000000019742.png,0,6.968359,404.009959,0.006068,3.960715,3.764031,5293.583339,0.047955,48.696267,0.474791,5.2e-05
000000019786.png,0,7.115328,110.358794,0.005678,4.128499,3.976191,2560.04293,0.025635,46.744114,0.226886,7.1e-05
000000019924.png,0,6.625832,2195.716629,0.016128,3.266811,4.288101,27987.581998,0.076691,85.191612,0.0,0.000198
000000020059.png,0,7.857771,7497.681346,0.046871,2.667528,6.204469,25507.092547,0.257797,72.041576,0.273193,0.001863
000000020107.png,0,7.463328,262.98922,0.008275,4.225706,5.239351,4211.410871,0.069389,41.216473,0.365395,1e-05
000000020247.png,0,6.625104,809.496947,0.004734,2.981769,4.575288,4479.530967,0.084305,39.385098,0.150965,0.000136
000000020333.png,0,7.592546,743.958432,0.014275,3.750435,4.943912,10294.128797,0.102619,69.592391,0.153288,0.000109
000000020553.png,0,7.282645,1279.040351,0.013564,3.763029,5.384304,10649.897088,0.119267,40.006041,0.491573,0.000544
000000020571.png,0,7.875302,1929.429641,0.018266,3.080699,5.584288,13172.690717,0.167583,57.743439,0.193342,0.000539
000000020992.png,0,7.391225,58.206284,0.00284,4.215308,4.095551,1386.956214,0.015751,51.758606,0.497482,5e-06
000000021167.png,0,6.795531,249.181503,0.010416,3.693479,3.392754,3497.046065,0.022614,41.934884,0.122248,0.000213
000000021465.png,0,7.645064,358.298738,0.011863,4.41611,4.950247,8106.356357,0.087254,51.212013,0.498889,9e-06
000000021503.png,0,6.908859,63.087131,0.001333,3.741825,4.230666,1272.616393,0.012817,43.661559,0.28207,1.5e-05
000000021604.png,0,6.708865,749.169881,0.020586,2.529858,3.229447,4654.665773,0.030643,37.934248,0.140496,0.002094
000000021839.png,0,7.51289,687.447932,0.007781,3.191406,5.512321,6693.108758,0.077347,45.39807,0.562954,4.3e-05
000000021879.png,0,6.951248,1373.458627,0.010043,3.086894,5.931086,6874.939066,0.170502,21.488879,0.160828,0.000352
000000021903.png,0,7.565732,2584.999495,0.045456,3.200981,5.411711,15497.995845,0.20789,57.494569,0.420065,0.001769
000000022192.png,0,7.050796,733.418344,0.00633,3.488302,4.329532,6818.706212,0.056091,56.848233,0.212891,0.000263
000000022371.png,0,7.085836,100.453205,0.001582,4.591694,3.515302,4200.723169,0.036884,58.962502,0.161516,6e-06
000000022396.png,0,4.612173,103.653819,0.000681,3.07094,4.224428,677.354067,0.004707,15.33494,0.29846,2.6e-05
000000022479.png,0,7.558448,187.459021,0.004178,3.870561,4.114028,4890.137617,0.060749,66.53291,0.207597,0.000253
000000022589.png,0,7.562917,1713.227564,0.028176,3.000285,5.466095,7386.344074,0.180809,45.786042,0.564183,0.000712
000000022623.png,0,7.787406,255.065477,0.004093,3.570049,4.323253,3733.555623,0.029682,68.810051,0.364285,0.000121
000000022705.png,0,7.480915,1090.363278,0.02109,3.012504,4.405907,8474.425573,0.063614,46.623156,0.345493,0.002271
000000022755.png,0,6.886811,204.313546,0.007231,3.495359,3.542625,2936.50918,0.020767,43.819955,0.400582,0.000604
000000022892.png,0,7.666076,571.72372,0.007048,4.282155,4.458607,10310.485693,0.104473,71.052318,0.22463,1e-06
000000022935.png,0,7.65797,844.912544,0.007912,3.186944,3.379341,9231.395869,0.050983,50.923071,0.505926,0.001498
000000022969.png,0,7.736357,2529.932435,0.019795,3.382969,5.978436,8461.265768,0.282867,49.62225,0.502952,0.000272
000000023023.png,0,7.291098,339.215014,0.002143,2.889563,5.199875,1511.248608,0.03001,44.61341,0.032421,0.000233
000000023034.png,0,7.693098,2025.753517,0.027549,3.36534,5.654451,13610.690157,0.19585,51.743192,0.270558,0.001097
000000023126.png,0,7.253879,661.439625,0.007689,3.681753,4.301959,8078.070624,0.053108,62.50115,0.0,4e-05
000000023230.png,0,7.421894,5128.808927,0.025523,2.190599,6.194753,8845.61414,0.286633,36.318709,0.365689,0.001352
000000023272.png,0,7.73278,1054.311015,0.015238,3.976733,5.810489,10604.514927,0.16684,49.090547,0.189393,0.000198
